date,player1,result1,player2,result2,title,note
2006-05-12,阿久津主税,●,富岡英作,○,王将戦 一次予選,
2006-05-13,阿久津主税,,南芳一,,銀河戦 H8回戦,詳細情報
2006-05-14,千葉涼子,○,中井広恵,●,女流王将戦 第1局,
2006-05-14,北浜健介,,窪田義行,,ＮＨＫ杯 １回戦,詳細情報
2006-05-15,藤井猛,●,羽生善治,○,朝日オープン 第4局,
2006-05-15,丸山忠久,○,森内俊之,●,竜王戦1組 決勝,
2006-05-15,伊藤能,○,田丸昇,●,竜王戦6組 昇決2回戦,
2006-05-15,木村一基,○,先崎学,●,王座戦 本戦1回戦,
2006-05-15,佐藤康光,○,中川大輔,●,王位戦 紅組4回戦,
2006-05-15,植山悦行,●,大平武洋,○,棋聖戦 一次予選,
2006-05-15,中田宏樹,●,佐藤紳哉,○,棋王戦 予選,
2006-05-15,岩根忍,○,山田久美,●,女流名人位 Ａ級3回戦,
2006-05-15,斎田晴子,○,松尾香織,●,女流名人位 Ａ級3回戦,
2006-05-15,中村真梨花,○,鈴木環那,●,倉敷藤花戦 2回戦,千日手
2006-05-16,福崎文吾,●,桐山清澄,○,竜王戦3組 昇決2回戦,
2006-05-16,渡辺明,○,阿久津主税,●,王位戦 紅組4回戦,
2006-05-16,桐谷広人,●,大内延介,○,棋聖戦 一次予選,
2006-05-16,田中魁秀,●,小林裕士,○,棋聖戦 一次予選,
2006-05-16,前田祐司,●,伊奈祐介,○,棋聖戦 一次予選,
2006-05-16,豊川孝弘,○,広瀬章人,●,棋聖戦 一次予選,
2006-05-16,中田功,●,飯島栄治,○,棋王戦 予選,
2006-05-16,本田小百合,●,岩根忍,○,女流名人位 Ａ級4回戦,
2006-05-16,古河彩子,○,竹部さゆり,●,女流王位 白組2回戦,
2006-05-17,阪口悟,●,西川慶二,○,棋王戦 予選,
2006-05-17,藤原直哉,○,畠山鎮,●,王将戦 一次予選,
2006-05-18,大野八一雄,○,小林宏,●,竜王戦6組 昇決2回戦,
2006-05-18,中尾敏之,●,加瀬純一,○,棋聖戦 一次予選,
2006-05-18,西尾明,○,伊藤果,●,棋聖戦 一次予選,
2006-05-18,達正光,○,安西勝一,●,棋聖戦 一次予選,
2006-05-18,中座真,○,松尾歩,●,棋王戦 予選,
2006-05-18,藤森奈津子,●,藤田綾,○,倉敷藤花戦 2回戦,
2006-05-18,北浜健介,,真田圭一,,銀河戦 A9回戦,詳細情報
2006-05-18,森内俊之,○,谷川浩司,●,名人戦 第4局,有料中継
2006-05-19,杉本昌隆,○,藤井猛,●,竜王戦1組 5決決勝,
2006-05-19,森下卓,○,井上慶太,●,竜王戦2組 準決勝,
2006-05-19,中尾敏之,○,石田和雄,●,竜王戦4組 残留決定戦,
2006-05-19,山本真也,●,佐藤紳哉,○,竜王戦4組 決勝,
2006-05-19,窪田義行,○,小野修一,●,竜王戦5組 昇決3回戦,
2006-05-19,増田裕司,●,脇謙二,○,棋聖戦 一次予選,
2006-05-19,長沼洋,●,島本亮,○,棋聖戦 一次予選,
2006-05-19,真田圭一,●,中村亮介,○,棋聖戦 一次予選,
2006-05-19,近藤正和,○,高野秀行,●,棋聖戦 一次予選,
2006-05-19,野田敬三,●,矢倉規広,○,棋聖戦 一次予選,
2006-05-19,堀口一史座,○,日浦市郎,●,王将戦 一次予選,
2006-05-20,井上慶太,,佐藤紳哉,,銀河戦 B9回戦,詳細情報
2006-05-21,中井広恵,○,千葉涼子,●,女流王将戦 第2局,
2006-05-21,山崎隆之,,塚田泰明,,ＮＨＫ杯 １回戦,詳細情報
2006-05-22,中原誠,●,畠山鎮,○,竜王戦1組 4決決勝,
2006-05-22,横山泰明,○,塚田泰明,●,棋王戦 予選,
2006-05-22,片上大輔,○,殿岡裕里,●,新人王戦 3回戦,
2006-05-22,中倉宏美,●,早水千紗,○,女流王位戦 紅組2回戦,
2006-05-22,矢内理絵子,○,中倉彰子,●,倉敷藤花戦 2回戦,
2006-05-23,小林健二,●,松尾歩,○,竜王戦3組 決勝,
2006-05-23,田村康介,●,中座真,○,竜王戦5組 決勝,
2006-05-23,中田功,○,佐々木慎,●,棋聖戦 一次予選,
2006-05-23,飯塚祐紀,●,石川陽生,○,棋王戦 予選,
2006-05-23,村山慈明,○,宮田敦史,●,棋王戦 予選,
2006-05-23,佐藤和俊,●,窪田義行,○,王将戦 一次予選,
2006-05-23,村中秀史,○,佐藤天三段,●,新人王戦 3回戦,
2006-05-23,古河彩子,●,久津知子,○,女流名人位戦 B級3回戦,
2006-05-23,松尾香織,○,竹部さゆり,●,倉敷藤花 2回戦,
2006-05-23,藤田麻衣子,●,山田久美,○,倉敷藤花 2回戦,
2006-05-24,先崎学,●,森内俊之,○,王位戦 紅組5回戦,
2006-05-24,佐藤紳哉,●,渡辺明,○,王位戦 白組5回戦,持将棋
2006-05-24,佐藤康光,○,谷川浩司,●,王位戦 白組5回戦,
2006-05-24,島朗,○,小林裕士,●,王位戦 紅組5回戦,
2006-05-24,深浦康市,○,藤原直哉,●,王位戦 紅組5回戦,
2006-05-24,中川大輔,●,阿久津主税,○,王位戦 白組5回戦,
2006-05-24,久津知子,●,島井咲緒里,○,女流名人位戦 B級1回戦,
2006-05-24,高群佐知子,○,貞升南,●,倉敷藤花 2回戦,
2006-05-25,橋本崇載,○,青野照市,●,竜王戦2組 昇決2回戦,
2006-05-25,富岡英作,○,西川慶二,●,竜王戦3組 昇決2回戦,
2006-05-25,野月浩貴,●,山崎隆之,○,竜王戦3組 昇決2回戦,
2006-05-25,平藤真吾,○,豊川孝弘,●,竜王戦4組 昇決3回戦,
2006-05-25,有吉道夫,●,高田尚平,○,竜王戦4組 残留決定戦,
2006-05-25,神吉宏充,●,室岡克彦,○,竜王戦5組 昇決3回戦,
2006-05-25,植山悦行,○,田中魁秀,●,竜王戦5組 残留決定戦,
2006-05-25,大島映二,●,木下浩一,○,棋聖戦 一次予選,
2006-05-25,南芳一,○,中村修,●,王座戦 本戦1回戦,
2006-05-25,村田智弘,●,井上慶太,○,王将戦 一次予選,
2006-05-25,千葉涼子,○,清水市代,●,女流名人位戦 A級3回戦,
2006-05-25,中井広恵,○,本田小百合,●,女流名人位戦 A級3回戦,
2006-05-25,中川大輔,,松尾歩,,銀河戦 C9回戦,詳細情報
2006-05-27,屋敷伸之,,行方尚史,,銀河戦 D9回戦,詳細情報
2006-05-28,村田智弘,,日浦市郎,,ＮＨＫ杯 1回戦,詳細情報
2006-05-29,千葉涼子,●,中井広恵,○,女流王将戦 第3局,
2006-05-29,郷田真隆,●,佐藤康光,○,竜王戦1組 3決決勝,
2006-05-29,長岡裕也,○,真部一男,●,棋聖戦 一次予選,
2006-05-29,里見香奈,○,古河彩子,●,女流名人位戦 B級1回戦,
2006-05-29,北尾まどか,●,斎田晴子,○,倉敷藤花 2回戦,
2006-05-30,中村亮介,○,村山慈明,●,竜王戦6組 決勝,
2006-05-30,遠山雄亮,○,中田功,●,竜王戦6組 昇決3回戦,
2006-05-30,岡崎洋,○,依田有司,●,棋聖戦 一次予選,
2006-05-30,村中秀史,○,千葉幸生,●,棋聖戦 一次予選,
2006-05-30,先崎学,○,勝又清和,●,王将戦 一次予選,
2006-05-30,宮田敦史,●,北浜健介,○,王将戦 一次予選,
2006-05-30,島井咲緒里,○,里見香奈,●,女流名人位 Ｂ級2回戦,
2006-05-30,本田小百合,●,中村真梨花,○,女流王位戦 紅組2回戦,
2006-05-31,小阪昇,●,高野秀行,○,竜王戦5組 昇決3回戦,
2006-05-31,山本真也,●,橋本崇載,○,棋王戦 予選,
2006-06-01,菊地常夫,●,伊藤能,○,竜王戦6組 昇決3回戦,
2006-06-01,飯野健二,●,日浦市郎,○,棋聖戦 一次予選,
2006-06-01,石川陽生,○,小林宏,●,棋聖戦 一次予選,
2006-06-01,松本佳介,●,田村康介,○,棋聖戦 一次予選,
2006-06-01,富岡英作,○,飯塚祐紀,●,王将戦 一次予選,
2006-06-01,佐藤紳哉,●,佐藤秀司,○,王将戦 一次予選,
2006-06-01,早水千紗,○,竹部さゆり,●,女流名人位戦 B級3回戦,
2006-06-01,青野照市,,木村一基,,銀河戦 E9回戦,詳細情報
2006-06-01,谷川浩司,○,森内俊之,●,名人戦 第5局,有料中継
2006-06-02,森下卓,○,鈴木大介,●,竜王戦2組 決勝,
2006-06-02,西尾明,●,堀口一史座,○,竜王戦5組 昇決3回戦,
2006-06-02,櫛田陽一,●,長岡裕也,○,竜王戦6組 昇決3回戦,
2006-06-02,久保利明,●,深浦康市,○,王座戦 本戦2回戦,
2006-06-02,青野照市,●,中川大輔,○,棋王戦 本戦1回戦,
2006-06-02,島朗,●,先崎学,○,棋王戦 本戦1回戦,
2006-06-02,森安多恵子,●,石橋幸緒,○,倉敷藤花戦 2回戦,
2006-06-02,植村真理,●,甲斐智美,○,倉敷藤花戦 2回戦,
2006-06-02,岩根忍,○,山田朱未,●,倉敷藤花戦 2回戦,
2006-06-02,室田伊緒,●,村田智穂,○,倉敷藤花戦 2回戦,
2006-06-03,城間春樹アマ,○,佐藤和俊,●,朝日オープン 予選,中継
2006-06-03,武田俊平アマ,●,中村亮介,○,朝日オープン 予選,中継
2006-06-03,村中秀史,●,清水上徹アマ,○,朝日オープン 予選,中継
2006-06-03,島達郎アマ,●,広瀬章人,○,朝日オープン 予選,中継
2006-06-03,天野高志アマ,●,高崎一生,○,朝日オープン 予選,中継
2006-06-03,加藤幸男アマ,○,遠山雄亮,●,朝日オープン 予選,中継
2006-06-03,鈴木貴幸アマ,●,瀬川晶司,○,朝日オープン 予選,中継
2006-06-03,中村太地,○,桐山隆アマ,●,朝日オープン 予選,中継
2006-06-03,近村一輝アマ,●,阪口悟,○,朝日オープン 予選,中継
2006-06-03,糸谷哲郎,○,山本伸一郎アマ,●,朝日オープン 予選,中継
2006-06-03,北島忠雄,,島朗,,銀河戦 F9回戦,詳細情報
2006-06-04,堀口一史座,,屋敷伸之,,ＮＨＫ杯 1回戦,詳細情報
2006-06-05,鈴木大介,●,佐藤康光,○,棋聖戦 第１局,中継
2006-06-05,武市三郎,●,伊奈祐介,○,棋聖戦 一次予選,
2006-06-05,清水市代,●,村山慈明,○,朝日オープン 予選,
2006-06-05,石橋幸緒,○,古河彩子,●,女流王位戦 白組２回戦,
2006-06-06,中井広恵,●,千葉涼子,○,女流王将戦 第4局,
2006-06-06,富岡英作,●,近藤正和,○,C1順位戦 １回戦,有料中継
2006-06-06,宮田敦史,●,中田功,○,C1順位戦 １回戦,有料中継
2006-06-06,窪田義行,○,千葉幸生,●,C1順位戦 １回戦,有料中継
2006-06-06,北島忠雄,○,中座真,●,C1順位戦 １回戦,有料中継・千日手
2006-06-06,石川陽生,●,真田圭一,○,C1順位戦 １回戦,有料中継
2006-06-06,勝又清和,○,塚田泰明,●,C1順位戦 １回戦,有料中継
2006-06-06,小倉久史,○,豊川孝弘,●,C1順位戦 １回戦,有料中継
2006-06-06,田丸昇,●,阿久津主税,○,C1順位戦 １回戦,有料中継
2006-06-06,脇謙二,●,平藤真吾,○,C1順位戦 １回戦,有料中継
2006-06-06,小林裕士,○,岡崎洋,●,C1順位戦 １回戦,有料中継
2006-06-06,松尾歩,○,小林健二,●,C1順位戦 １回戦,有料中継
2006-06-06,飯島栄治,○,安用寺孝功,●,C1順位戦 １回戦,有料中継
2006-06-06,長沼洋,●,日浦市郎,○,C1順位戦 １回戦,有料中継
